id_request,client_id,company_name,contact_first_name,contact_last_name,id_booking,request_type,request_status,request_date,approval_date,amendment_date,delivery_tracking_number,delivery_cost,dispatch_date,invoice_number,product_id,product_reference,bag_size_kg,bags,bags_remaining,price_per_kg,harvest_date,status,pathway,reservation_days,payment_days,landing_status,landing_date,warehouse
97,32,company_1,name_1,surname_1,,Reservation,Completed,2025-07-03,2026-01-08,2025-11-07,,,Pending,0,17,product_2,24,10.00,0.00,17.75,2025-04-30,Sold Out,B,180,28,Landed,2025-07-09,United Kingdom
97,32,company_1,name_1,surname_1,,Reservation,Completed,2025-07-03,2026-01-08,2025-11-07,,,Pending,0,48,product_136,24,6.00,0.00,18.60,2025-04-30,Sold Out,B,180,28,Landed,2025-07-09,United Kingdom
97,32,company_1,name_1,surname_1,,Reservation,Completed,2025-07-03,2026-01-08,2025-11-07,,,Pending,0,20,product_127,24,3.00,0.00,32.00,2025-04-30,Sold Out,B,180,28,Landed,2025-07-09,United Kingdom
97,32,company_1,name_1,surname_1,,Reservation,Completed,2025-07-03,2026-01-08,2025-11-07,,,Pending,0,19,product_124,24,1.00,0.00,30.00,2025-04-30,Sold Out,B,180,28,Landed,2025-07-09,United Kingdom
97,32,company_1,name_1,surname_1,,Reservation,Completed,2025-07-03,2026-01-08,2025-11-07,,,Pending,0,24,product_71,24,8.00,0.00,17.80,2025-04-30,Sold Out,B,180,28,Landed,2025-07-09,United Kingdom
97,32,company_1,name_1,surname_1,,Reservation,Completed,2025-07-03,2026-01-08,2025-11-07,,,Pending,0,26,product_66,24,8.00,0.00,24.50,2025-04-30,Sold Out,B,180,28,Landed,2025-07-09,United Kingdom
97,32,company_1,name_1,surname_1,,Reservation,Completed,2025-07-03,2026-01-08,2025-11-07,,,Pending,0,25,product_56,24,3.00,0.00,26.50,2025-04-30,Sold Out,B,180,28,Landed,2025-07-09,United Kingdom
97,32,company_1,name_1,surname_1,,Reservation,Completed,2025-07-03,2026-01-08,2025-11-07,,,Pending,0,23,product_53,24,3.00,0.00,30.00,2025-04-30,Sold Out,B,180,28,Landed,2025-07-09,United Kingdom
97,32,company_1,name_1,surname_1,,Reservation,Completed,2025-07-03,2026-01-08,2025-11-07,,,Pending,0,12,product_33,35,20.00,0.00,12.75,2025-02-28,Sold Out,B,180,28,Landed,2025-07-09,United Kingdom
97,32,company_1,name_1,surname_1,,Reservation,Completed,2025-07-03,2026-01-08,2025-11-07,,,Pending,0,14,product_29,24,14.00,0.00,17.50,2025-02-28,Sold Out,B,180,28,Landed,2025-07-09,United Kingdom
97,32,company_1,name_1,surname_1,,Reservation,Completed,2025-07-03,2026-01-08,2025-11-07,,,Pending,0,9,product_19,35,5.00,0.00,14.75,2025-02-28,Sold Out,B,180,28,Landed,2025-07-09,United Kingdom
98,34,company_2,name_2,surname_2,,Reservation,Completed,2025-07-03,2025-11-18,Pending,,,Pending,0,49,product_135,35,2.00,0.00,9.94,2025-04-30,Sold Out,B,30,7,Landed,2025-07-09,United Kingdom
98,34,company_2,name_2,surname_2,,Reservation,Completed,2025-07-03,2025-11-18,Pending,,,Pending,0,38,product_101,24,1.00,0.00,17.50,2025-04-30,Sold Out,B,30,7,Landed,2025-07-09,United Kingdom
98,34,company_2,name_2,surname_2,,Reservation,Completed,2025-07-03,2025-11-18,Pending,,,Pending,0,31,product_90,24,1.00,0.00,17.50,2025-04-30,Sold Out,B,30,7,Landed,2025-07-09,United Kingdom
98,34,company_2,name_2,surname_2,,Reservation,Completed,2025-07-03,2025-11-18,Pending,,,Pending,0,30,product_87,24,1.00,0.00,17.50,2025-04-30,Sold Out,B,30,7,Landed,2025-07-09,United Kingdom
98,34,company_2,name_2,surname_2,,Reservation,Completed,2025-07-03,2025-11-18,Pending,,,Pending,0,28,product_83,24,1.00,0.00,17.50,2025-04-30,Sold Out,B,30,7,Landed,2025-07-09,United Kingdom
